Chromosome,Feature,Start,End,Strand,ID_gene,Start-2000,End+2000,seqnames,start,end,width,Status,Gene,coverage_percentage,overlap,file
chr01,gene,11703247,11704653,-,Os01g0311600,11701247,11706653,chr01,11703201,11703600,400,hypo,Os01g0311600,88.5,TRUE,Azucena (CHG context)
chr01,gene,12804579,12810204,+,Os01g0331100,12802579,12812204,chr01,12806801,12807200,400,hypo,Os01g0331100,100,TRUE,Azucena (CHG context)
chr01,gene,14892931,14898978,+,Os01g0364800,14890931,14900978,chr01,14895601,14896000,400,hypo,Os01g0364800,100,TRUE,Azucena (CHG context)
chr01,gene,16634082,16636357,-,Os01g0391800,16632082,16638357,chr01,16635601,16636000,400,hyper,Os01g0391800,100,TRUE,Azucena (CHG context)
chr01,gene,17294028,17299540,-,Os01g0500750,17292028,17301540,chr01,17298001,17298400,400,hyper,Os01g0500750,100,TRUE,Azucena (CHG context)
chr01,gene,18613736,18616526,+,Os01g0521600,18611736,18618526,chr01,18614401,18614800,400,hyper,Os01g0521600,100,TRUE,Azucena (CHG context)
chr01,gene,20651659,20654948,+,Os01g0550900,20649659,20656948,chr01,20651601,20652000,400,hypo,Os01g0550900,85.5,TRUE,Azucena (CHG context)
chr01,gene,21415022,21441440,+,Os01g0563000,21413022,21443440,chr01,21420801,21421200,400,hyper,Os01g0563000,100,TRUE,Azucena (CHG context)
chr01,gene,22215593,22241305,+,Os01g0576100,22213593,22243305,chr01,22240001,22240400,400,hyper,Os01g0576100,100,TRUE,Azucena (CHG context)
chr01,gene,22835224,22835478,+,Os01g0586801,22833224,22837478,chr01,22835201,22835600,400,hypo,Os01g0586801,63.75,TRUE,Azucena (CHG context)
chr01,gene,25466388,25474144,+,Os01g0635400,25464388,25476144,chr01,25472801,25473200,400,hyper,Os01g0635400,100,TRUE,Azucena (CHG context)
chr01,gene,25880629,25884230,+,Os01g0643666,25878629,25886230,chr01,25883601,25884000,400,hyper,Os01g0643666,100,TRUE,Azucena (CHG context)
chr01,gene,26202814,26206936,+,Os01g0649400,26200814,26208936,chr01,26204801,26205200,400,hypo,Os01g0649400,100,TRUE,Azucena (CHG context)
chr01,gene,26321416,26324769,+,Os01g0651800,26319416,26326769,chr01,26323201,26323600,400,hypo,Os01g0651800,100,TRUE,Azucena (CHG context)
chr01,gene,26321617,26324525,-,Os01g0651866,26319617,26326525,chr01,26323201,26323600,400,hypo,Os01g0651866,100,TRUE,Azucena (CHG context)
chr01,gene,27704013,27705072,+,Os01g0674150,27702013,27707072,chr01,27704801,27705200,400,hypo,Os01g0674150,68,TRUE,Azucena (CHG context)
chr01,gene,28599291,28600408,+,Os01g0693100,28597291,28602408,chr01,28599201,28599600,400,hypo,Os01g0693100,77.5,TRUE,Azucena (CHG context)
chr01,gene,29423549,29427813,+,Os01g0708300,29421549,29429813,chr01,29426401,29426800,400,hypo,Os01g0708300,100,TRUE,Azucena (CHG context)
chr01,gene,30173442,30179045,+,Os01g0723500,30171442,30181045,chr01,30174401,30174800,400,hypo,Os01g0723500,100,TRUE,Azucena (CHG context)
chr01,gene,30377964,30383831,-,Os01g0728350,30375964,30385831,chr01,30379601,30380000,400,hypo,Os01g0728350,100,TRUE,Azucena (CHG context)
chr01,gene,30378105,30383834,+,Os01g0728375,30376105,30385834,chr01,30379601,30380000,400,hypo,Os01g0728375,100,TRUE,Azucena (CHG context)
chr01,gene,33601018,33605323,-,Os01g0793300,33599018,33607323,chr01,33603601,33604000,400,hypo,Os01g0793300,100,TRUE,Azucena (CHG context)
chr01,gene,33821312,33828770,+,Os01g0799100,33819312,33830770,chr01,33821601,33822000,400,hypo,Os01g0799100,100,TRUE,Azucena (CHG context)
chr01,gene,33841675,33843236,-,Os01g0799600,33839675,33845236,chr01,33841601,33842000,400,hypo,Os01g0799600,81.5,TRUE,Azucena (CHG context)
chr01,gene,38688239,38692619,-,Os01g0889900,38686239,38694619,chr01,38691601,38692000,400,hypo,Os01g0889900,100,TRUE,Azucena (CHG context)
chr01,gene,41011330,41015063,-,Os01g0935000,41009330,41017063,chr01,41013201,41013600,400,hypo,Os01g0935000,100,TRUE,Azucena (CHG context)
chr02,gene,397365,403411,+,Os02g0106800,395365,405411,chr02,401601,402000,400,hypo,Os02g0106800,100,TRUE,Azucena (CHG context)
chr02,gene,397365,403411,+,Os02g0106800,395365,405411,chr02,402401,402800,400,hypo,Os02g0106800,100,TRUE,Azucena (CHG context)
chr02,gene,1468981,1474672,-,Os02g0128400,1466981,1476672,chr02,1472001,1472400,400,hypo,Os02g0128400,100,TRUE,Azucena (CHG context)
chr02,gene,1469299,1474022,+,Os02g0128500,1467299,1476022,chr02,1472001,1472400,400,hypo,Os02g0128500,100,TRUE,Azucena (CHG context)
chr02,gene,6387970,6390904,+,Os02g0214050,6385970,6392904,chr02,6388401,6388800,400,hypo,Os02g0214050,100,TRUE,Azucena (CHG context)
chr02,gene,8938133,8943482,-,Os02g0258300,8936133,8945482,chr02,8942801,8943200,400,hypo,Os02g0258300,100,TRUE,Azucena (CHG context)
chr02,gene,17175222,17175893,+,Os02g0491800,17173222,17177893,chr02,17175601,17176000,400,hypo,Os02g0491800,73.25,TRUE,Azucena (CHG context)
chr02,gene,17196142,17204631,-,Os02g0492000,17194142,17206631,chr02,17202401,17202800,400,hypo,Os02g0492000,100,TRUE,Azucena (CHG context)
chr02,gene,17548460,17558112,+,Os02g0498633,17546460,17560112,chr02,17552401,17552800,400,hyper,Os02g0498633,100,TRUE,Azucena (CHG context)
chr02,gene,17550631,17554943,-,Os02g0498666,17548631,17556943,chr02,17552401,17552800,400,hyper,Os02g0498666,100,TRUE,Azucena (CHG context)
chr02,gene,17805404,17808857,+,Os02g0503100,17803404,17810857,chr02,17806401,17806800,400,hypo,Os02g0503100,100,TRUE,Azucena (CHG context)
chr02,gene,17862192,17866853,+,Os02g0503700,17860192,17868853,chr02,17865201,17865600,400,hypo,Os02g0503700,100,TRUE,Azucena (CHG context)
chr02,gene,19406608,19420786,-,Os02g0528900,19404608,19422786,chr02,19416401,19416800,400,hypo,Os02g0528900,100,TRUE,Azucena (CHG context)
chr02,gene,21330472,21335235,-,Os02g0562600,21328472,21337235,chr02,21333201,21333600,400,hypo,Os02g0562600,100,TRUE,Azucena (CHG context)
chr02,gene,21627356,21642080,-,Os02g0568700,21625356,21644080,chr02,21629601,21632400,2800,hypo,Os02g0568700,100,TRUE,Azucena (CHG context)
chr02,gene,21765011,21773418,+,Os02g0570400,21763011,21775418,chr02,21771601,21772000,400,hyper,Os02g0570400,100,TRUE,Azucena (CHG context)
chr02,gene,26349749,26353445,-,Os02g0653400,26347749,26355445,chr02,26352001,26352400,400,hyper,Os02g0653400,100,TRUE,Azucena (CHG context)
chr02,gene,34170247,34180842,+,Os02g0801700,34168247,34182842,chr02,34177601,34178000,400,hyper,Os02g0801700,100,TRUE,Azucena (CHG context)
chr03,gene,4868172,4880170,+,Os03g0193400,4866172,4882170,chr03,4878401,4878800,400,hyper,Os03g0193400,100,TRUE,Azucena (CHG context)
chr03,gene,4877659,4880015,-,Os03g0193450,4875659,4882015,chr03,4878401,4878800,400,hyper,Os03g0193450,100,TRUE,Azucena (CHG context)
chr03,gene,6344978,6351569,+,Os03g0221100,6342978,6353569,chr03,6345201,6345600,400,hypo,Os03g0221100,100,TRUE,Azucena (CHG context)
chr03,gene,6706278,6708143,-,Os03g0227400,6704278,6710143,chr03,6706401,6706800,400,hypo,Os03g0227400,100,TRUE,Azucena (CHG context)
chr03,gene,7184393,7189221,+,Os03g0236300,7182393,7191221,chr03,7186001,7186400,400,hypo,Os03g0236300,100,TRUE,Azucena (CHG context)
chr03,gene,8909302,8912790,-,Os03g0268400,8907302,8914790,chr03,8910801,8911200,400,hypo,Os03g0268400,100,TRUE,Azucena (CHG context)
chr03,gene,8909462,8912972,+,Os03g0268450,8907462,8914972,chr03,8910801,8911200,400,hypo,Os03g0268450,100,TRUE,Azucena (CHG context)
chr03,gene,13122682,13124496,-,Os03g0349600,13120682,13126496,chr03,13122801,13123200,400,hypo,Os03g0349600,100,TRUE,Azucena (CHG context)
chr03,gene,13122845,13123180,+,Os03g0349700,13120845,13125180,chr03,13122801,13123200,400,hypo,Os03g0349700,84,TRUE,Azucena (CHG context)
chr03,gene,14776034,14785731,+,Os03g0374901,14774034,14787731,chr03,14779601,14780000,400,hypo,Os03g0374901,100,TRUE,Azucena (CHG context)
chr03,gene,14790176,14798032,-,Os03g0375300,14788176,14800032,chr03,14792401,14792800,400,hypo,Os03g0375300,100,TRUE,Azucena (CHG context)
chr03,gene,15189113,15195856,+,Os03g0383100,15187113,15197856,chr03,15193201,15193600,400,hypo,Os03g0383100,100,TRUE,Azucena (CHG context)
chr03,gene,15567899,15572135,-,Os03g0389100,15565899,15574135,chr03,15569601,15570000,400,hyper,Os03g0389100,100,TRUE,Azucena (CHG context)
chr03,gene,16457908,16459449,+,Os03g0403600,16455908,16461449,chr03,16459201,16459600,400,hypo,Os03g0403600,62.25,TRUE,Azucena (CHG context)
chr03,gene,20313408,20318292,+,Os03g0564200,20311408,20320292,chr03,20317201,20317600,400,hypo,Os03g0564200,100,TRUE,Azucena (CHG context)
chr03,gene,20550499,20557987,+,Os03g0568400,20548499,20559987,chr03,20553201,20553600,400,hypo,Os03g0568400,100,TRUE,Azucena (CHG context)
chr03,gene,21500778,21515569,-,Os03g0583900,21498778,21517569,chr03,21515201,21515600,400,hypo,Os03g0583900,92.25,TRUE,Azucena (CHG context)
chr03,gene,22641490,22657252,+,Os03g0604432,22639490,22659252,chr03,22653201,22653600,400,hyper,Os03g0604432,100,TRUE,Azucena (CHG context)
chr03,gene,22641492,22657252,-,Os03g0604200,22639492,22659252,chr03,22653201,22653600,400,hyper,Os03g0604200,100,TRUE,Azucena (CHG context)
chr03,gene,24591421,24596437,+,Os03g0639700,24589421,24598437,chr03,24595601,24596000,400,hypo,Os03g0639700,100,TRUE,Azucena (CHG context)
chr03,gene,27851068,27852859,-,Os03g0695425,27849068,27854859,chr03,27851201,27851600,400,hypo,Os03g0695425,100,TRUE,Azucena (CHG context)
chr03,gene,29871085,29878399,+,Os03g0730500,29869085,29880399,chr03,29871201,29871600,400,hyper,Os03g0730500,100,TRUE,Azucena (CHG context)
chr03,gene,30830441,30831935,+,Os03g0749000,30828441,30833935,chr03,30830401,30830800,400,hypo,Os03g0749000,90,TRUE,Azucena (CHG context)
chr03,gene,30830459,30831396,-,Os03g0749051,30828459,30833396,chr03,30830401,30830800,400,hypo,Os03g0749051,85.5,TRUE,Azucena (CHG context)
chr03,gene,33588552,33589411,-,Os03g0804600,33586552,33591411,chr03,33588401,33588800,400,hypo,Os03g0804600,62.25,TRUE,Azucena (CHG context)
chr04,gene,1760660,1762304,+,Os04g0127900,1758660,1764304,chr04,1761201,1761600,400,hypo,Os04g0127900,100,TRUE,Azucena (CHG context)
chr04,gene,3823612,3826250,+,Os04g0155500,3821612,3828250,chr04,3824401,3824800,400,hypo,Os04g0155500,100,TRUE,Azucena (CHG context)
chr04,gene,4424830,4427681,-,Os04g0165200,4422830,4429681,chr04,4426001,4426400,400,hypo,Os04g0165200,100,TRUE,Azucena (CHG context)
chr04,gene,4599353,4604670,-,Os04g0167701,4597353,4606670,chr04,4600801,4601200,400,hypo,Os04g0167701,100,TRUE,Azucena (CHG context)
chr04,gene,4689042,4689554,-,Os04g0168300,4687042,4691554,chr04,4689201,4689600,400,hyper,Os04g0168300,88.5,TRUE,Azucena (CHG context)
chr04,gene,5189974,5194492,-,Os04g0176200,5187974,5196492,chr04,5192801,5193200,400,hyper,Os04g0176200,100,TRUE,Azucena (CHG context)
chr04,gene,5428347,5434023,-,Os04g0179700,5426347,5436023,chr04,5433201,5433600,400,hypo,Os04g0179700,100,TRUE,Azucena (CHG context)
chr04,gene,5608992,5620616,+,Os04g0182600,5606992,5622616,chr04,5619601,5620000,400,hypo,Os04g0182600,100,TRUE,Azucena (CHG context)
chr04,gene,6442037,6452057,+,Os04g0193950,6440037,6454057,chr04,6450001,6450400,400,hypo,Os04g0193950,100,TRUE,Azucena (CHG context)
chr04,gene,7988583,8000337,+,Os04g0219800,7986583,8002337,chr04,7989601,7992000,2400,hypo,Os04g0219800,100,TRUE,Azucena (CHG context)
chr04,gene,10996728,11005544,-,Os04g0266700,10994728,11007544,chr04,10997201,10997600,400,hypo,Os04g0266700,100,TRUE,Azucena (CHG context)
chr04,gene,11638394,11642909,+,Os04g0275950,11636394,11644909,chr04,11641201,11641600,400,hypo,Os04g0275950,100,TRUE,Azucena (CHG context)
chr04,gene,12628440,12630654,-,Os04g0290450,12626440,12632654,chr04,12628801,12629200,400,hyper,Os04g0290450,100,TRUE,Azucena (CHG context)
chr04,gene,14056535,14061026,+,Os04g0310400,14054535,14063026,chr04,14060001,14060400,400,hyper,Os04g0310400,100,TRUE,Azucena (CHG context)
chr04,gene,16825210,16825905,-,Os04g0352700,16823210,16827905,chr04,16825201,16825600,400,hypo,Os04g0352700,97.75,TRUE,Azucena (CHG context)
chr04,gene,20341271,20341857,+,Os04g0411651,20339271,20343857,chr04,20341201,20341600,400,hypo,Os04g0411651,82.5,TRUE,Azucena (CHG context)
chr04,gene,20768925,20771468,+,Os04g0420033,20766925,20773468,chr04,20768801,20769200,400,hypo,Os04g0420033,69,TRUE,Azucena (CHG context)
chr04,gene,23735317,23742375,-,Os04g0474700,23733317,23744375,chr04,23741601,23742000,400,hyper,Os04g0474700,100,TRUE,Azucena (CHG context)
chr04,gene,24550891,24559985,-,Os04g0491350,24548891,24561985,chr04,24555201,24555600,400,hyper,Os04g0491350,100,TRUE,Azucena (CHG context)
chr04,gene,24624551,24636298,+,Os04g0492600,24622551,24638298,chr04,24630001,24630400,400,hypo,Os04g0492600,100,TRUE,Azucena (CHG context)
chr04,gene,25658339,25667057,+,Os04g0513400,25656339,25669057,chr04,25662001,25662400,400,hypo,Os04g0513400,100,TRUE,Azucena (CHG context)
chr04,gene,26913320,26919727,+,Os04g0538000,26911320,26921727,chr04,26916801,26917200,400,hypo,Os04g0538000,100,TRUE,Azucena (CHG context)
chr04,gene,27137079,27144180,+,Os04g0542000,27135079,27146180,chr04,27139201,27140000,800,hypo,Os04g0542000,100,TRUE,Azucena (CHG context)
chr04,gene,27605166,27608318,+,Os04g0551200,27603166,27610318,chr04,27606801,27607200,400,hypo,Os04g0551200,100,TRUE,Azucena (CHG context)
chr04,gene,28201348,28202402,-,Os04g0563350,28199348,28204402,chr04,28201201,28201600,400,hypo,Os04g0563350,63.25,TRUE,Azucena (CHG context)
chr04,gene,30161452,30165436,+,Os04g0597800,30159452,30167436,chr04,30162801,30163200,400,hypo,Os04g0597800,100,TRUE,Azucena (CHG context)
chr04,gene,31880536,31894575,-,Os04g0626700,31878536,31896575,chr04,31885601,31886400,800,hypo,Os04g0626700,100,TRUE,Azucena (CHG context)
chr04,gene,31995412,31998252,+,Os04g0628900,31993412,32000252,chr04,31996801,31997200,400,hypo,Os04g0628900,100,TRUE,Azucena (CHG context)
chr05,gene,5652659,5654777,-,Os05g0192100,5650659,5656777,chr05,5652801,5653200,400,hypo,Os05g0192100,100,TRUE,Azucena (CHG context)
chr05,gene,6446886,6458100,-,Os05g0203800,6444886,6460100,chr05,6453601,6454000,400,hypo,Os05g0203800,100,TRUE,Azucena (CHG context)
chr05,gene,7692541,7693302,-,Os05g0226000,7690541,7695302,chr05,7692401,7692800,400,hypo,Os05g0226000,65,TRUE,Azucena (CHG context)
chr05,gene,10113038,10113510,+,Os05g0261001,10111038,10115510,chr05,10113201,10113600,400,hyper,Os05g0261001,77.5,TRUE,Azucena (CHG context)
chr05,gene,15401030,15458677,+,Os05g0330150,15399030,15460677,chr05,15426801,15427200,400,hypo,Os05g0330150,100,TRUE,Azucena (CHG context)
chr05,gene,17566077,17571618,+,Os05g0366000,17564077,17573618,chr05,17568801,17569200,400,hypo,Os05g0366000,100,TRUE,Azucena (CHG context)
chr05,gene,18880611,18887896,-,Os05g0390000,18878611,18889896,chr05,18881601,18882000,400,hypo,Os05g0390000,100,TRUE,Azucena (CHG context)
chr05,gene,20683551,20684336,-,Os05g0421750,20681551,20686336,chr05,20684001,20684400,400,hyper,Os05g0421750,84,TRUE,Azucena (CHG context)
chr05,gene,25918401,25935287,-,Os05g0521300,25916401,25937287,chr05,25934001,25934400,400,hypo,Os05g0521300,100,TRUE,Azucena (CHG context)
chr05,gene,26159275,26167449,+,Os05g0525800,26157275,26169449,chr05,26165201,26165600,400,hypo,Os05g0525800,100,TRUE,Azucena (CHG context)
chr05,gene,26159525,26167410,-,Os05g0525850,26157525,26169410,chr05,26165201,26165600,400,hypo,Os05g0525850,100,TRUE,Azucena (CHG context)
chr05,gene,28547571,28551291,+,Os05g0573200,28545571,28553291,chr05,28549201,28549600,400,hypo,Os05g0573200,100,TRUE,Azucena (CHG context)
chr05,gene,28547604,28551076,-,Os05g0573250,28545604,28553076,chr05,28549201,28549600,400,hypo,Os05g0573250,100,TRUE,Azucena (CHG context)
chr06,gene,3286611,3296253,-,Os06g0164900,3284611,3298253,chr06,3292001,3292400,400,hypo,Os06g0164900,100,TRUE,Azucena (CHG context)
chr06,gene,5614074,5616716,+,Os06g0210000,5612074,5618716,chr06,5614401,5614800,400,hypo,Os06g0210000,100,TRUE,Azucena (CHG context)
chr06,gene,6208419,6214434,-,Os06g0220600,6206419,6216434,chr06,6208801,6209200,400,hypo,Os06g0220600,100,TRUE,Azucena (CHG context)
chr06,gene,7121730,7126172,+,Os06g0237100,7119730,7128172,chr06,7123601,7124000,400,hypo,Os06g0237100,100,TRUE,Azucena (CHG context)
chr06,gene,9116877,9124244,+,Os06g0271300,9114877,9126244,chr06,9121601,9122000,400,hypo,Os06g0271300,100,TRUE,Azucena (CHG context)
chr06,gene,9116926,9124196,-,Os06g0271350,9114926,9126196,chr06,9121601,9122000,400,hypo,Os06g0271350,100,TRUE,Azucena (CHG context)
chr06,gene,11132811,11134650,-,Os06g0299300,11130811,11136650,chr06,11133201,11133600,400,hypo,Os06g0299300,100,TRUE,Azucena (CHG context)
chr06,gene,11283478,11293833,-,Os06g0301400,11281478,11295833,chr06,11292001,11292400,400,hypo,Os06g0301400,100,TRUE,Azucena (CHG context)
chr06,gene,11532362,11536893,+,Os06g0305400,11530362,11538893,chr06,11534001,11534400,400,hypo,Os06g0305400,100,TRUE,Azucena (CHG context)
chr06,gene,11575998,11584432,+,Os06g0306500,11573998,11586432,chr06,11579201,11579600,400,hypo,Os06g0306500,100,TRUE,Azucena (CHG context)
chr06,gene,13584735,13591992,-,Os06g0340200,13582735,13593992,chr06,13587201,13587600,400,hypo,Os06g0340200,100,TRUE,Azucena (CHG context)
chr06,gene,16504159,16507947,-,Os06g0484450,16502159,16509947,chr06,16507201,16507600,400,hypo,Os06g0484450,100,TRUE,Azucena (CHG context)
chr06,gene,16676478,16683024,+,Os06g0486900,16674478,16685024,chr06,16678401,16678800,400,hypo,Os06g0486900,100,TRUE,Azucena (CHG context)
chr06,gene,19186999,19192365,-,Os06g0521000,19184999,19194365,chr06,19192001,19192400,400,hypo,Os06g0521000,91.25,TRUE,Azucena (CHG context)
chr06,gene,20330315,20338404,-,Os06g0541600,20328315,20340404,chr06,20334401,20334800,400,hyper,Os06g0541600,100,TRUE,Azucena (CHG context)
chr06,gene,22073976,22082485,-,Os06g0570100,22071976,22084485,chr06,22076001,22076400,400,hyper,Os06g0570100,100,TRUE,Azucena (CHG context)
chr06,gene,22368183,22371242,+,Os06g0576200,22366183,22373242,chr06,22370801,22371200,400,hypo,Os06g0576200,100,TRUE,Azucena (CHG context)
chr06,gene,24348670,24353951,+,Os06g0610800,24346670,24355951,chr06,24350401,24350800,400,hypo,Os06g0610800,100,TRUE,Azucena (CHG context)
chr06,gene,24706807,24707541,+,Os06g0616900,24704807,24709541,chr06,24706801,24707200,400,hypo,Os06g0616900,98.5,TRUE,Azucena (CHG context)
chr07,gene,1575296,1579565,-,Os07g0129800,1573296,1581565,chr07,1578801,1579200,400,hypo,Os07g0129800,100,TRUE,Azucena (CHG context)
chr07,gene,3683525,3685666,-,Os07g0169100,3681525,3687666,chr07,3684401,3684800,400,hypo,Os07g0169100,100,TRUE,Azucena (CHG context)
chr07,gene,4240044,4253407,+,Os07g0180700,4238044,4255407,chr07,4250001,4250400,400,hypo,Os07g0180700,100,TRUE,Azucena (CHG context)
chr07,gene,4240044,4253407,+,Os07g0180700,4238044,4255407,chr07,4251201,4251600,400,hyper,Os07g0180700,100,TRUE,Azucena (CHG context)
chr07,gene,4925896,4930714,-,Os07g0191301,4923896,4932714,chr07,4927601,4928800,1200,hypo,Os07g0191301,100,TRUE,Azucena (CHG context)
chr07,gene,5747394,5749826,-,Os07g0206600,5745394,5751826,chr07,5747601,5748000,400,hypo,Os07g0206600,100,TRUE,Azucena (CHG context)
chr07,gene,5747552,5749325,+,Os07g0206650,5745552,5751325,chr07,5747601,5748000,400,hypo,Os07g0206650,100,TRUE,Azucena (CHG context)
chr07,gene,10988939,10994274,-,Os07g0285900,10986939,10996274,chr07,10992401,10992800,400,hyper,Os07g0285900,100,TRUE,Azucena (CHG context)
chr07,gene,16930374,16933496,+,Os07g0471683,16928374,16935496,chr07,16931601,16932000,400,hypo,Os07g0471683,100,TRUE,Azucena (CHG context)
chr07,gene,19223928,19230480,+,Os07g0506600,19221928,19232480,chr07,19228001,19228400,400,hypo,Os07g0506600,100,TRUE,Azucena (CHG context)
chr07,gene,20936091,20941652,+,Os07g0534000,20934091,20943652,chr07,20938001,20938400,400,hypo,Os07g0534000,100,TRUE,Azucena (CHG context)
chr07,gene,25696895,25704080,-,Os07g0621800,25694895,25706080,chr07,25697201,25697600,400,hypo,Os07g0621800,100,TRUE,Azucena (CHG context)
chr08,gene,2129613,2130595,+,Os08g0137800,2127613,2132595,chr08,2129601,2130000,400,hyper,Os08g0137800,97,TRUE,Azucena (CHG context)
chr08,gene,2854670,2857413,-,Os08g0149566,2852670,2859413,chr08,2854801,2855200,400,hypo,Os08g0149566,100,TRUE,Azucena (CHG context)
chr08,gene,2854800,2855093,+,Os08g0149800,2852800,2857093,chr08,2854801,2855200,400,hypo,Os08g0149800,73.25,TRUE,Azucena (CHG context)
chr08,gene,5186875,5187698,+,Os08g0188900,5184875,5189698,chr08,5187201,5187600,400,hypo,Os08g0188900,100,TRUE,Azucena (CHG context)
chr08,gene,7583487,7588332,+,Os08g0224500,7581487,7590332,chr08,7584401,7584800,400,hyper,Os08g0224500,100,TRUE,Azucena (CHG context)
chr08,gene,11126808,11130613,-,Os08g0282500,11124808,11132613,chr08,11126801,11127200,400,hypo,Os08g0282500,98.25,TRUE,Azucena (CHG context)
chr08,gene,14105821,14113578,-,Os08g0323000,14103821,14115578,chr08,14108001,14108400,400,hypo,Os08g0323000,100,TRUE,Azucena (CHG context)
chr08,gene,16946485,16959993,-,Os08g0365900,16944485,16961993,chr08,16950801,16951200,400,hypo,Os08g0365900,100,TRUE,Azucena (CHG context)
chr08,gene,17136399,17138576,+,Os08g0368333,17134399,17140576,chr08,17137601,17138000,400,hypo,Os08g0368333,100,TRUE,Azucena (CHG context)
chr08,gene,19220446,19224534,+,Os08g0402700,19218446,19226534,chr08,19221201,19221600,400,hypo,Os08g0402700,100,TRUE,Azucena (CHG context)
chr08,gene,19281246,19283397,+,Os08g0403733,19279246,19285397,chr08,19281601,19282000,400,hypo,Os08g0403733,100,TRUE,Azucena (CHG context)
chr08,gene,19657493,19661886,-,Os08g0410900,19655493,19663886,chr08,19661601,19662000,400,hypo,Os08g0410900,71.5,TRUE,Azucena (CHG context)
chr08,gene,20245320,20248478,+,Os08g0422500,20243320,20250478,chr08,20248001,20248400,400,hypo,Os08g0422500,100,TRUE,Azucena (CHG context)
chr08,gene,21080207,21085066,-,Os08g0434566,21078207,21087066,chr08,21080801,21081200,400,hypo,Os08g0434566,100,TRUE,Azucena (CHG context)
chr08,gene,21506475,21513656,-,Os08g0441500,21504475,21515656,chr08,21509201,21509600,400,hyper,Os08g0441500,100,TRUE,Azucena (CHG context)
chr08,gene,22702058,22707548,+,Os08g0462700,22700058,22709548,chr08,22704801,22705200,400,hyper,Os08g0462700,100,TRUE,Azucena (CHG context)
chr08,gene,23184255,23188026,+,Os08g0471300,23182255,23190026,chr08,23185201,23185600,400,hypo,Os08g0471300,100,TRUE,Azucena (CHG context)
chr08,gene,25564443,25567818,-,Os08g0515000,25562443,25569818,chr08,25565601,25566000,400,hypo,Os08g0515000,100,TRUE,Azucena (CHG context)
chr08,gene,26434718,26445150,-,Os08g0530801,26432718,26447150,chr08,26435601,26436800,1200,hypo,Os08g0530801,100,TRUE,Azucena (CHG context)
chr08,gene,26989664,26997637,+,Os08g0539700,26987664,26999637,chr08,26991201,26991600,400,hyper,Os08g0539700,100,TRUE,Azucena (CHG context)
chr09,gene,3073972,3092832,+,Os09g0240500,3071972,3094832,chr09,3088001,3088400,400,hypo,Os09g0240500,100,TRUE,Azucena (CHG context)
chr09,gene,4429265,4430103,+,Os09g0259200,4427265,4432103,chr09,4429201,4429600,400,hypo,Os09g0259200,84,TRUE,Azucena (CHG context)
chr09,gene,8173211,8177505,+,Os09g0309200,8171211,8179505,chr09,8175201,8175600,400,hypo,Os09g0309200,100,TRUE,Azucena (CHG context)
chr09,gene,10071433,10085739,-,Os09g0333600,10069433,10087739,chr09,10083201,10083600,400,hypo,Os09g0333600,100,TRUE,Azucena (CHG context)
chr09,gene,11483617,11506480,-,Os09g0356800,11481617,11508480,chr09,11489601,11490000,400,hyper,Os09g0356800,100,TRUE,Azucena (CHG context)
chr09,gene,11664369,11676584,+,Os09g0359500,11662369,11678584,chr09,11665601,11666000,400,hypo,Os09g0359500,100,TRUE,Azucena (CHG context)
chr09,gene,12536561,12539847,+,Os09g0374900,12534561,12541847,chr09,12537201,12537600,400,hypo,Os09g0374900,100,TRUE,Azucena (CHG context)
chr09,gene,13319823,13325701,+,Os09g0388400,13317823,13327701,chr09,13322401,13322800,400,hypo,Os09g0388400,100,TRUE,Azucena (CHG context)
chr09,gene,13631743,13640237,-,Os09g0394300,13629743,13642237,chr09,13637601,13638000,400,hypo,Os09g0394300,100,TRUE,Azucena (CHG context)
chr09,gene,14149813,14154150,-,Os09g0403000,14147813,14156150,chr09,14152401,14152800,400,hypo,Os09g0403000,100,TRUE,Azucena (CHG context)
chr09,gene,17755755,17771403,-,Os09g0467400,17753755,17773403,chr09,17763601,17764000,400,hypo,Os09g0467400,100,TRUE,Azucena (CHG context)
chr09,gene,20541260,20548192,-,Os09g0525700,20539260,20550192,chr09,20547201,20547600,400,hypo,Os09g0525700,100,TRUE,Azucena (CHG context)
chr09,gene,21046293,21050027,+,Os09g0535200,21044293,21052027,chr09,21048401,21048800,400,hyper,Os09g0535200,100,TRUE,Azucena (CHG context)
chr10,gene,4445399,4466927,+,Os10g0164500,4443399,4468927,chr10,4456801,4459600,2800,hypo,Os10g0164500,100,TRUE,Azucena (CHG context)
chr10,gene,6497068,6510300,+,Os10g0193500,6495068,6512300,chr10,6501201,6501600,400,hyper,Os10g0193500,100,TRUE,Azucena (CHG context)
chr10,gene,7301658,7304913,-,Os10g0202501,7299658,7306913,chr10,7302001,7302400,400,hyper,Os10g0202501,100,TRUE,Azucena (CHG context)
chr10,gene,8193814,8201070,+,Os10g0315400,8191814,8203070,chr10,8200801,8201200,400,hypo,Os10g0315400,67.5,TRUE,Azucena (CHG context)
chr10,gene,9349051,9356434,+,Os10g0330600,9347051,9358434,chr10,9356001,9356400,400,hypo,Os10g0330600,100,TRUE,Azucena (CHG context)
chr10,gene,10615625,10626486,+,Os10g0350100,10613625,10628486,chr10,10625601,10626000,400,hypo,Os10g0350100,100,TRUE,Azucena (CHG context)
